MovieID,NeighborID,Distance
8192,6294,4.542193168
8192,12156,4.629102393
8192,4773,4.694485437
8192,5765,4.711531209
8192,10462,4.723366007
16384,14526,8.815480607
16384,1635,8.843046316
16384,12156,8.845963414
16384,15530,8.849711309
16384,13610,8.849979683
16386,12156,3.817722713
16386,13764,3.873437084
16386,15303,3.906820755
16386,11765,3.941955212
16386,3121,3.953929842
16389,10341,5.739962618
16389,13328,5.819662265
16389,17273,5.822092677
16389,14526,5.825485856
16389,10977,5.863769398
16390,12156,3.553922015
16390,3170,3.632697521
16390,10462,3.690581442
16390,10341,3.77000956
16390,15303,3.775602187
8199,15936,5.929815632
8199,8949,5.970071486
8199,17344,5.983166997
8199,12258,6.000613719
8199,10986,6.017703018
8202,1204,5.133120297
8202,7593,5.161036249
8202,4581,5.172646113
8202,15754,5.19565129
8202,9068,5.204790932
16395,9485,5.572428119
16395,1522,5.580254685
16395,15045,5.597732551
16395,3576,5.600592657
16395,4285,5.603947679
12,9068,6.267538299
12,12156,6.365493242
12,15343,6.415125695
12,17077,6.451083581
12,4285,6.451083581
8208,17077,4.513717642
8208,4285,4.513717642
8208,13764,4.524008572
8208,2988,4.528100718
8208,5384,4.534675592
16401,3170,4.832128021
16401,3873,4.906684019
16401,9068,4.923716444
16401,7593,4.92535859
16401,12466,4.967226849
20,4773,4.889931511
20,10370,4.967725279
20,12156,4.973840249
20,12143,5.005362596
20,1522,5.023257567
10926,13238,6.729050131
10926,12156,6.862075801
10926,17273,6.872728773
10926,3393,6.913992096
10926,9485,6.953576989
8219,12156,4.777487359
8219,14526,4.892218299
8219,13316,4.895586839
8219,10462,4.896773081
8219,1403,4.906223036
16412,2988,6.548043233
16412,10484,6.587969291
16412,3121,6.617622771
16412,13764,6.638693446
16412,11765,6.651947872
9562,8030,4.00131556
9562,3901,4.002842073
9562,12156,4.008692541
9562,9068,4.029248095
9562,10291,4.058221961
30,12367,5.993380745
30,17607,6.028467597
30,12274,6.03557016
30,10046,6.186864452
30,6311,6.192912514
12293,12293,0
12293,5778,0
12293,5384,7.096515216
12293,6294,7.136161795
12293,5937,7.16519313
16417,12156,4.096391568
16417,2988,4.125061854
16417,11765,4.233037062
16417,15303,4.23787728
16417,7813,4.251512332
15365,6440,4.870968261
15365,8837,4.89239634
15365,9485,4.903758423
15365,12156,4.910589467
15365,13764,4.973328715
9563,15343,5.827149796
9563,12291,5.881229946
9563,3901,5.89940612
9563,3170,5.91038428
9563,12258,5.92473183
16421,2887,6.30937315
16421,9485,6.369684194
16421,12156,6.379259807
16421,7520,6.423494789
16421,10806,6.439486426
10929,3170,4.350859721
10929,2178,4.448906955
